666271.5742697478	527671.7910485603	152967	520179.98444839707	670891.9331729594	101834.18074930739	800325	-292875.81550093705	-956374	511727.61509977304
-255125	781420	280845	-537478	126896.62754029618	173088	341715	-596262.1786263356	-784030	-703470.7620894061
-236372.62053716765	289713	-733464	-161607.51184990501	-527341.9501136607	-620336	-283224	221672.45207430632	-614753.194271677	-711362
204489	-57989.98435902456	480465	-277916.3127061712	475101	264152	130404	-964417.7811275916	904367	-83571
-182649.58355271025	38502.05358186143	894	-30955	41621.37638020783	368635.6227931157	999536.6317976103	582298.6868899665	-902812.7010496912	878206
317481.6329887095	231804.83297865908	-317159	-337918.17611981207	-69856	-789860.8454135383	813043	-915251.5728951516	-69687.70416739199	-73244.87377102382
958354.0913361325	-17254	-307906.3345109507	-96175	-927840	-373067	880790.9845417899	732063	920549	743896
454475.0278864589	851176.0601249337	794771.1770846432	680980	-319918.0926637257	735384	679505	-636794.4366901626	824495.7833679686	13317
-935722.0232539976	-824785	11614	938437	83956.26268235967	740535.52343588	237152	-761505.8240391528	542448	-360704
353453.3387363907	912437	-116559	-360730	-262058.28823637182	902196.2245265625	-361984	242288.8063734905	86800.79704579501	-180444
468027.17407231894	-130740	979433	907144	-607554.6166870458	729300.7383062001	625997	456115.42905087885	656357	-547055.276635531
298058.9170803083	52258.477382640354	223413	-616636	329854	908962.1659333282	6038	989140.9253179077	42075.287328380975	211.28223099850584
-287192.7876952463	-364083	241099	639741	472903.0428714801	67471	900229	907757	-872481.9426392701	621432
-973009.2743137742	886482	885394	-72318	-714694.0542634128	531368	493444	-510190	715321.2142192568	16863.811215544818
511338	-831936.0151895059	-636166	-111405	951278	-634144	762994.5827582201	922816	-746363	463937.3326688914
617807	268698	76466	429404	-263013	-699587.1341959306	-92950	903967	-371384	-328954.06726692687
119120	-670967	-351489.9024629175	-408432	-993826	400971	-661834	317460	-460178.63995385787	-666356.8102561273
96389	651992	-444643.53768547764	807803.9362887107	-663736.7968938011	-171483.55222769186	478011.2555529105	456966.3716221368	298753	-51499
-795491	-213925.020673414	959637	98980.34747776855	55315	290210.475094822	55415.72071189922	-608819	579452.9744084005	-717381.4080637728
-694755.8095252133	268931.17813390144	663170	-543284	480375	320812.8854921665	-496017	-636643.2408341509	953989	-41484.5179912413
706655.7503665483	334330	1339.2559761265293	711183	432706	886163.14845696	848899.2398553186	-971887.8757471261	655340	275187.6663410533
-798903	373250.02848473703	-117855.97339986789	-144454	-282927	626730.3976367272	635628.3556221174	876698.7095146081	-763115.2328665063	-537991
215083.21550761722	268373.5741882005	964579	-89826	-573044	443242	48015.59124042629	-167030.2852021763	-442319	-406586.5872290466
420719.14674706385	-850890	691949	-592850	-935043.7085274858	-798237.2754350768	-652313.1793319872	-367662.7574770659	76774	617736
-369261.17290991184	-469789.63039781014	549366	-836540	-684119.3886543848	55148.75724550546	521846.1093533528	998885	448519	-386500
957096	-841307	-995212	-173650.15529035975	-859471	677149.5627015368	966394	942018	759144	990672
581512.5553662104	392379.91588371526	664338.6855812147	387749	-165319	140116.86984574446	163720	-723396.678654699	20297	-689022
948585.0274260452	357652.9496496732	192480	-359277.672974154	-618867	968016	808043	-283127	-564950	271567
-172937.32952128944	437580.24744196236	-269310	509943	915	708322.1677588979	144860	924076.5535186303	-96571	334012
983412	920854	811662.820952436	241692	626768.3897392752	536585	-493494	597890.0158041574	-480685.4348963667	-817395.2722439788
146123	-321270	-455862	957392.8232152599	-440198.95721797226	88869.85374365002	-349719.55729055253	352593.4765992698	-85692	-78893.09862823167
297303.9761853225	-891044.2536868548	-749230	-357210.9619673847	368818	-619974	692653.9139695454	-791118.3424967251	-692936	835655
-735955	-566850.3923758743	743116.9794796216	-666832.7689204083	212550.47934918944	331323.42278738646	-754230	-761877	175512.44543747138	140063.01836914406
-983135	-726823	290778.7411624703	747717	-28626	-396989.8807149022	-284118.17024858575	455852	287182	155922
974769	-367779	618579.4375043856	-877533.2609913403	-682007	-87654.45324421779	-983725	117516	846925	-464584
314476.7003132638	-488361.86060972774	683058	839292	646431	763899.5454079749	-621911	-375728	-185946	811466
-108110.18408835761	-832866.1128325802	-204274.87431292585	-149943	-569201.6606582792	295648	-159756.64212973672	819628	362094.20188978803	454174.7993987652
112908	448970.75218527624	271252	-70412.69861688674	-969742.6980063317	675196.6315140733	-137741	125169	-941700.8896908574	31873.110137729673
464558	-683356	943412	792166.5872193915	555560	-522725	957692.5058754461	-888021	-913391.9357916256	524383
-93346	-60101.61204207316	216733	-972582	248321.0386328108	-530376	296490	-745742	411817.5369849098	-182796.63496991352
278890.97419205704	-873809.2936328248	22045.897173477337	-538797.2054980281	505435.3920563513	800046.1967869166	395964	-659393.050770386	-622657	548328.2688852923
-786722.4126459998	744458.581452179	915931.8963998072	738766	301289	-49177.4214665863	28418	150254.97371354443	-976370.3878489094	285560
911688.315019601	-460998.69947411015	-390105	240043	-14528	-575255.3816130807	883125.4112961763	-894988	-371132.8210506195	146263.006279103
445054.1375572672	-703573.837096898	448821	-258947	685297	-92921	849602	400299.70327796624	-986193.7545941373	800096
893167	552583	-874992.6323846271	766723.1094854462	-786390	-928721.2462563048	658786.5329951122	486601	839596	594152
40623.76195859071	122073	-967687.0997785208	-763187	470602.4320923933	-53920.03631426161	-490602.0127929045	474811.8137176072	751641	-958987
71498.26930171484	568979	-902971	-841281	59381	801851	426388	561101.4196399644	854198	931766
-308303.9343181901	50421.46111312648	615165.1585405876	-30029.87431926641	824200.6096064853	-661830.0844885225	-914878	-575574.4632877775	605316	21422
-434648.24954474904	-42721.334213517956	236817.3295764099	-373674	-279512	-590612.1712273043	-429200	-28579	-934023	375671
-522163.57300096174	-907786.471844352	-905022.0259069805	341334.8448266585	895664.478576808	-23051	423770	-916620.6023547305	-776029	-659677
7127.308776309015	-987184.2937958861	-914731.1402118794	-34867	802013	412605.77964487043	-398726.98559955496	-609889	714177	145725
-619462	-344262.93542382075	-593769.6234562246	559524	472333.39293254307	-934800.9657440899	255760	16129.858875385486	-937761	-856608
300484	-909794	259156.62194056064	574849	-593571.2902167423	659745.7893143774	275243	210768	-383728	-996145.2984081563
-391756.4425884712	-839042.5833643728	-281521.0379732293	280033	-578411.3256152204	882470	262503	198749	-24337.388153928216	195919.26294618053
969976	293327.38285349007	838906.508207679	617179.0567598091	491237	-236921	416816.1974732606	-462136.77009611693	-782541.1487445169	450974.14932926116
604439	-361365	-437024.66914283077	-192160	215014.9439079992	-921143	-844627.3668886841	-328824	587034.386005366	-712761.6773282306
666892.5976812418	850069.0416747008	-287493.0722882472	801167.8564678098	-674546.2878315179	-180874	-266908	710339.0310578151	-9733.141965247574	793664
335877	503106	-193828.5568470261	446495.8537066842	950598.1743104749	-213521	96165	-25831	-628130	-417767
346189.848001631	714420	-170370	-742756.4109245617	27123	-441169	-227729.19794174924	-895755.863044001	769758.491944791	-213932.43370442488
-253851	-72760.4735427365	383323.21082583326	-745024	810808.0358656961	-64766	-2825.813952594297	811733	-532463.758709972	-859722
-132906	-310360	-152087.55859082704	-344990.21078247717	33492.98062510567	-695798.2711409703	-27621	-466225.24275426904	611705.9511934246	407252
